,game_id,title,release_date,price,rating_inPercent,url
0,1426210,It Takes Two,"25 Mar, 2021",2499.0,95.0,https://store.steampowered.com/app/1426210/It_Takes_Two/?snr=1_7_7_globaltopsellers_150_1
1,1172470,Apex Legends™,"4 Nov, 2020",0.0,90.0,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_globaltopsellers_150_1
2,1085660,Destiny 2,"1 Oct, 2019",0.0,85.0,https://store.steampowered.com/app/1085660/Destiny_2/?snr=1_7_7_globaltopsellers_150_1
3,1056640,Phantasy Star Online 2 New Genesis,"5 Aug, 2020",0.0,80.0,https://store.steampowered.com/app/1056640/Phantasy_Star_Online_2_New_Genesis/?snr=1_7_7_globaltopsellers_150_1
4,252490,Rust,"8 Feb, 2018",725.0,86.0,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_globaltopsellers_150_1
5,381210,Dead by Daylight,"14 Jun, 2016",499.0,82.0,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_globaltopsellers_150_1
6,892970,Valheim,"2 Feb, 2021",435.0,96.0,https://store.steampowered.com/app/892970/Valheim/?snr=1_7_7_globaltopsellers_150_1
7,739630,Phasmophobia,"18 Sep, 2020",309.0,97.0,https://store.steampowered.com/app/739630/Phasmophobia/?snr=1_7_7_globaltopsellers_150_1
8,552990,World of Warships,"15 Nov, 2017",0.0,81.0,https://store.steampowered.com/app/552990/World_of_Warships/?snr=1_7_7_globaltopsellers_150_1
9,1097150,Fall Guys: Ultimate Knockout,"3 Aug, 2020",465.0,83.0,https://store.steampowered.com/app/1097150/Fall_Guys_Ultimate_Knockout/?snr=1_7_7_globaltopsellers_150_1
10,1086940,Baldur's Gate 3,"6 Oct, 2020",1999.0,88.0,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_globaltopsellers_150_1
11,594650,Hunt: Showdown,"27 Aug, 2019",1349.0,83.0,https://store.steampowered.com/app/594650/Hunt_Showdown/?snr=1_7_7_globaltopsellers_150_1
12,1377580,Soulworker,"12 May, 2021",0.0,77.0,https://store.steampowered.com/app/1377580/Soulworker/?snr=1_7_7_globaltopsellers_150_1
13,239140,Dying Light,"27 May, 2021",1099.0,95.0,https://store.steampowered.com/app/239140/Dying_Light/?snr=1_7_7_globaltopsellers_150_1
14,1465360,SnowRunner,"17 May, 2021",1199.0,84.0,https://store.steampowered.com/app/1465360/SnowRunner/?snr=1_7_7_globaltopsellers_150_1
15,945360,Among Us,"16 Nov, 2018",133.0,93.0,https://store.steampowered.com/app/945360/Among_Us/?snr=1_7_7_globaltopsellers_150_1
16,1335790,Operation: Tango,"1 Jun, 2021",435.0,89.0,https://store.steampowered.com/app/1335790/Operation_Tango/?snr=1_7_7_globaltopsellers_150_1
17,1359090,Zero Hour,"12 Aug, 2020",289.0,81.0,https://store.steampowered.com/app/1359090/Zero_Hour/?snr=1_7_7_globaltopsellers_150_1
18,435150,Divinity: Original Sin 2 - Definitive Edition,"14 Sep, 2017",799.0,95.0,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_7_7_globaltopsellers_150_1
19,286160,Tabletop Simulator,"5 Jun, 2015",419.0,95.0,https://store.steampowered.com/app/286160/Tabletop_Simulator/?snr=1_7_7_globaltopsellers_150_1
20,8500,EVE Online,"15 Dec, 2010",0.0,76.0,https://store.steampowered.com/app/8500/EVE_Online/?snr=1_7_7_globaltopsellers_150_1
21,1520470,封灵档案,"29 Mar, 2021",0.0,67.0,https://store.steampowered.com/app/1520470/_/?snr=1_7_7_globaltopsellers_150_1
22,720620,TaleSpire,"14 Apr, 2021",465.0,95.0,https://store.steampowered.com/app/720620/TaleSpire/?snr=1_7_7_globaltopsellers_150_1
23,620,Portal 2,"18 Apr, 2011",259.0,98.0,https://store.steampowered.com/app/620/Portal_2/?snr=1_7_7_globaltopsellers_150_1
24,581320,Insurgency: Sandstorm,"12 Dec, 2018",999.0,85.0,https://store.steampowered.com/app/581320/Insurgency_Sandstorm/?snr=1_7_7_globaltopsellers_150_1
25,493520,GTFO,"9 Dec, 2019",1199.0,88.0,https://store.steampowered.com/app/493520/GTFO/?snr=1_7_7_globaltopsellers_150_1
26,386180,Crossout,"26 Jul, 2017",0.0,76.0,https://store.steampowered.com/app/386180/Crossout/?snr=1_7_7_globaltopsellers_150_1
